Title,Price,Room
" 33 Fishermans Wharf, Ringsend, Dublin 4"," €3,200 / month ", 3 beds 
" 18 Pembroke Court, Pembroke Road, Ballsbridge, Dublin 4"," €1,836 / month ", 1 bed 
" 18 South Great Georges Street, 158, Dublin",POA,157m 2
" The Penthouse, Longboat Quay South, Dublin 2, Grand Canal Dk, Dublin 2"," €4,000 / month ", 3 beds 
" Barran, Blacklion, Cavan", €950 / month , 4 beds 
" Parkhill Lawn, Kilnamanagh, Dublin 24"," €2,091 / month ", 4 beds 
" Peyton Square, Rathcoole, Co. Dublin"," €2,300 / month ", 3 beds 
" Apt 7 St Stephens, Leeson Lane, Leeson Street, Dublin 2"," €3,500 / month ", 2 beds 
" 2 Monte Vella, Barnhill Road, Dalkey, County Dublin"," €4,450 / month ", 2 beds 
" The Corner House, St Fintans Road, Sutton,   Dublin 13"," €4,600 / month ", 4 beds 
" The Island, Chapelizod, Dublin 20"," €2,320 / month ", 3 beds 
" 124 Leeson Street Upper, Donnybrook, Dublin 4"," €7,000 / month ", 4 beds 
" Lux Beach House barna galway, Barna, Galway"," €3,995 / month ", 4 beds 
" Tivoli Terrace, Dun Laoghaire, Dublin"," €8,950 / month ", 6 beds 
" 130 Leinster Road, Dublin 6"," €2,000 / month ", 1 bed 
" Northumberland, Ballsbridge, Dublin 4", €735 / week , 1 bed 
" Hatch Street, Leeson Street, Dublin 2", €695 / week , 1 bed 
" CHURCH PLACE, Sallynoggin, County Dublin", €550 / week , 1 bath 
" Church Place, Sallynoggin, Sallynoggin, County Dublin", €795 / week , 1 bed 
" Pavillion, Dun Laoighre, Dun Laoghaire, Dublin"," €4,200 / month ", 2 beds 
" Luxury Lodges, Carraroe, Galway"," €1,595 / week ",none
" 8 Vernon Grove, Clontarf, Dublin 3"," €3,200 / month ", 3 beds 
" 31 Maplewood Drive, Tallaght, Dublin 24"," €2,226 / month ", 3 beds 
" APT 20 DUNLIN HOUSE, CLONTARF DUBLIN 3"," €2,700 / month ", 2 beds 
" Mellowes Avenue, Finglas, D11, Finglas, Dublin 11"," €1,500 / month ", 2 beds 
" Gainsborough Close, Malahide, Co Dublin , Malahide, Dublin"," €2,500 / month ", 4 beds 
" Richmond Hall, Fairview, Dublin 3"," €2,050 / month ", 2 beds 
" Clashwilliam, Gowran, Co. Kilkenny, Gowran, Kilkenny", POA ,
" 30 The Drive, Harbour Heights, Passage West, Co. Cork"," €1,455 / month ", 3 beds 
" 20 Nicholas Street, Douglas Street, Co. Cork"," €2,862 / month ", 4 beds 
"  Dunamara, Strand Road, Killiney, County Dublin"," €14,000 / month ", 5 beds 
" 96 Howth Road, Howth, County Dublin"," €6,000 / month ", 4 beds 
" Glasscarrig, Ballygarrett, Gorey, Wexford"," €1,750 / month ", 5 beds 
" Cappagh Road, Finglas, Dublin 11"," €2,250 / month ", 3 beds 
" Station Grove, Clondalkin, Dublin 22"," €2,175 / month ", 3 beds 
" Aras Na Cluaine, Clondalkin, Dublin 22"," €1,331 / month ", 2 beds 
" Bertram Court, Christchurch, Dublin 8"," €2,000 / month ", 2 beds 
" Monksfield, Clondalkin, Dublin 22"," €2,200 / month ", 3 beds 
" Killarney Park Residence, Killarney, Kerry"," €2,950 / month ", 5 beds 
" Srah Upper, Carracastle, Ballaghderreen, Co. Mayo"," €1,150 / month ", 4 beds 
" Collegewood, Castleknock,   Dublin 15"," €3,000 / month ", 4 beds 
" Dunsink Drive, Finglas, Dublin 11, Finglas, Dublin 11"," €2,300 / month ", 2 beds 
" Kilgraigue, Kilcloon, Co. Kildare"," €2,500 / month ", 4 beds 
" 2 Grafton, 31- 33 Merrion Road, Dublin 4, Dublin 4, Dublin"," €3,500 / month ", 2 beds 
" 11 Saint Gall Gardens North, Milltown, Dundrum,   Dublin 14"," €2,300 / month ", 2 beds 
" Lislarkin, Liscannor, Co. Clare"," €2,150 / month ", 3 beds 
" Little Home, Summercove, Kinsale, Co. Cork"," €3,900 / month ", 4 beds 
" Ballymakellett, Ravensdale, Dundalk, Louth"," €2,000 / month ", 4 beds 
" Melville Rise, Finglas, Dublin 11"," €1,800 / month ", 2 beds 
" Cottage No. 3 Rosnastraw Courtyard, Rosnastraw, Tinahely, Wicklow", €895 / month , 2 beds 
" Donode, Ballymore Eustace, Kildare"," €2,000 / month ", 3 beds 
" 9 Moatfield Park, Artane, Dublin 5, County Dublin"," €2,000 / month ", 3 beds 
" 4 Hillcourt Road, Glenageary, County Dublin"," €4,000 / month ", 4 beds 
" Rosebank, Clondalkin, Dublin 22"," €1,900 / month ", 2 beds 
" 3 Congress Terrace, Drumshanbo, Co Leitrim N41 X394"," €1,200 ", 3 beds 
" Apartment 3, 82 Meath Street, South City Centre - D8, Dublin 8"," €2,750 / month ", 2 beds 
" Lyttle Home, Summercove, Kinsale, County Cork"," €3,900 / month ", 4 beds 
" The Iona, Prospect Hill, Finglas, Dublin 11"," €1,900 / month ", 2 beds 
" 1 Churchfield, Clontarf Road, Clontarf, Dublin 3"," €3,995 / month ", 3 beds 
" 49a Vernon Avenue , Clontarf, Dublin 3"," €3,000 / month ", 2 beds 
" 36 Parklands, Athenry, Co. Galway"," €1,800 / month ", 2 beds 
" 2 Brookfield, Back Road, Malahide, Dublin"," €4,200 / month ", 5 beds 
" St Peters Road, Walkinstown, Dublin 12", €900 / month , 1 bed 
" Rathborne Court, Ashtown, Dublin 15"," €4,000 / month ", 4 beds 
" Bessborough Avenue, North Wall, Dublin 1"," €2,192.96 / month ", 2 beds 
" 30 Willbrook Park, Rathfarnahm, Dublin 14, Rathfarnham"," €2,900 / month ", 3 beds 
" The Residences at Killeen Terrace, Malahide, Co. Dublin"," €2,450 / month ", 1 bed 
" Glenfield Park, Clondalkin, Dublin 22"," €1,250 / month ", 1 bed 
" 25 Inver Geal, Cortober, Carrick on Shannon, Co Roscommon N41 FX74"," €1,400 ", 5 beds 
" 9 John's Quay, Kilkenny, Kilkenny"," €1,500 / month ", 3 beds 
" Villa in Vale Do Lobo, Portugal, Limerick City, Co. Limerick"," €6,500 / week ", 5 beds 
" Apartment 7, Marlborough Court, Marlborough Road, Dublin 7, Dublin"," €2,500 / month ", 2 beds 
" 17 Raglan Road, Ballsbridge, Dublin 4"," €20,000 / month ", 5 beds 
" Corrandulla, Galway City, Co. Galway"," €1,400 / month ", 4 beds 
" The Avenue, Scholarstown Road, Rathfarnham, Dublin 16"," €3,200 / month ", 3 beds 
" Tyrconnell Park, Inchicore, Dublin 8"," €2,500 / month ", 2 beds 
" Barconey, Ballyjamesduff, Co. Cavan",POA,none
" 63 Millbank Square, Sallins, Kildare"," €1,550 / month ", 2 beds 
" 49B Vernon Avenue , Clontarf, Dublin 3"," €3,500 / month ", 3 beds 
" 66 Marlton Demesne, Marlton Road, Wicklow Town, Co. Wicklow"," €2,950 / month ", 4 beds 
" Collins Park, Dublin 9"," €2,750 / month ", 3 beds 
" Oak Glade, Naas, Co. Kildare"," €2,200 / month ", 3 beds 
" 127 Kincora Road, Clontarf, Dublin 3"," €3,500 / month ", 3 beds 
" 108 Grianan Fidh, Aikens Village, Stepaside, Dublin 18"," €2,950 / month ", 3 beds 
" Killeenmore, Portlick, Glasson, Athlone, Co. Westmeath"," €1,800 / month ", 4 beds 
" 291 Mother Theresa House, Rathfarnham, Dublin 14, County Dublin"," €2,200 / month ", 2 beds 
" Moorhill, Brannockstown, Co. Kildare", €600 / month , 1 bed 
" Charlesland , Greystones, Wicklow"," €2,500 / month ", 3 beds 
" Alley Haven, 75 Engine Alley, Dublin 8"," €1,538 / month ", 1 bed 
" Charlesland , Greystones, Wicklow", POA , 3 beds 
" Thomas Davis Street, Christchurch, Dublin 8"," €2,500 / month ", 2 beds 
" Hillview Heights, Clane, Co. Kildare"," €2,400 / month ", 4 beds 
" Casimir Court, Harolds Cross, Dublin 6W"," €2,500 / month ", 2 beds 
" Apartment 1A York Street, Castleblayney, Castleblayney, Monaghan"," €1,200 / month ", 2 beds 
" Ashbrook House, Ranelagh, Dublin 6"," €2,700 / month ", 2 beds 
" Highgrove, Mount Talbot, Clondalkin, Dublin 22"," €2,500 / month ", 2 beds 
" Ivy Exchange, Parnell Street, Dublin 1"," €2,192 / month ", 2 beds 
" Malbrack, Dunmanway, Cork"," €1,200 / month ", 3 beds 
" Ryder Cup Village The K Club Straffan Co. Kilda, Co. Kildare"," €2,795 / month ", 3 beds 
" Villa to Rent in Quinta Do Lago, Portugal, Limerick City, Co. Limerick"," €5,000 / week ", 5 beds 
" Rathgael, Clondalkin, Dublin 22"," €1,875 / month ", 2 beds 
" Apartment 8, Amiens Square, Amiens Street, Dublin 1"," €1,850 / month ", 1 bed 
" 4 Parkview, Robswall, Malahide, Co. Dublin"," €2,550 / month ", 2 beds 
" Galtymore Road, Drimnagh, Dublin 12"," €3,000 / month ", 4 beds 
" North Avenue, Stillorgan, Co. Dublin"," €2,600 / month ", 2 beds 
" Villa to rent in Quinta Do Lago, Portugal, Limerick City, Co. Limerick"," €12,000 / week ", 6 beds 
" City House, Newbridge, Co. Kildare"," €1,247 / month ", 2 beds 
" Twin Ensuite Premium at Montrose,  Stillorgan Rd, Trimblestown, Dublin 4, Dublin", €233 / week , 1 bed 
" Student Accommodation at The Loom, Cork St, The Liberties, Dublin 8, Dublin", €282 to €297 / week , 1 bed 
" Student Accommodation at Montrose,  Stillorgan Rd, Trimblestown, Dublin 4, Dublin", €233 to €360 / week , 1 bed 
" Student Accommodation at Beckett House, Gardiner St, Dublin 1, Dublin", €267 to €311 / week , 1 bed 
" Student Accommodation at Binary Hub, Bonham Street, Dublin 8, Dublin", €272 to €306 / week , 1 bed 
" Student Accommodation at 107 Dorset Street Upper, Dorset Street, Dublin 1", €229 to €311 / week , 1 bed 
" Premier Square, Finglas Road, Finglas, Dublin 11"," €1,836 / month ", 2 beds 
" 36 The Lansdowne Block, Pembroke Square, Grand Canal Street Upper, Dublin 4, Grand Canal Dk"," €2,700 / month ", 2 beds 
" Cowper Downs, Cowper Road, Rathmines, Dublin 6"," €2,010 / month ", 2 beds 
" 5 Crannagh Court, Rathfarnham, Dublin 14"," €1,900 / month ", 2 beds 
" Alderwood Park, Tallaght, Dublin 24"," €2,500 / month ", 3 beds 
" Kilgraigue, Maynooth, Co. Kildare"," €2,200 / month ", 4 beds 
" Anna Villa, Ranelagh, South Dublin City, Ranelagh, Dublin 6"," €5,500 / month ", 4 beds 
" Hollands Park, Athy, Co. Kildare"," €1,377 / month ", 3 beds 
" North Great George's Street, Dublin 1, North City Centre, Dublin 1"," €3,700 / month ", 2 beds 
" Annesley Gardens, Ranelagh, Ranelagh, Dublin 6"," €8,750 / month ", 4 beds 
" Castlepark Road Dalkey, Co. Dublin, Dalkey, Co. Dublin, Dalkey, Dublin"," €5,850 / month ", 3 beds 
" Hali, Cherrywood, Dublin 18, Dublin"," €2,550 / month ", 2 beds 
" Penthouse The Pines, Herbert Park Lane, Ballsbridge, Ballsbridge, Dublin 4"," €5,000 / month ", 2 beds 
" Inishmaan Road, Whitehall, Dublin 9, Dublin"," €4,000 / month ", 4 beds 
" Hanover Quay, Grand Canal Dk, Dublin 2"," €3,000 / month ", 2 beds 
" Seapoint Avenue, Dun Laoghaire, County Dublin"," €3,500 / month ", 2 beds 
" 1 13 One Springfield Park, Foxrock, Dublin 18"," €3,100 / month ", 2 beds 
" Maglin P31NH01, Ballincollig, Co. Cork"," €1,888 / month ", 4 beds 
" 57 Herbert Lane, Dublin 2, Dublin"," €5,500 / month ", 4 beds 
" Rathdangan, Rathdangan, Wicklow"," €1,750 / month ", 4 beds 
" 73 St. Patricks Park, Stepaside, Dublin 18"," €3,250 / month ", 3 beds 
" Maplewood Avenue, Tallaght, Dublin 24"," €2,500 / month ", 3 beds 
" Eaton Terrace, Rathcoole, Co. Dublin"," €1,950 / month ", 2 beds 
" The Lawn, Abbeylands, Clane, Co. Kildare"," €1,885 / month ", 2 beds 
" Cruichrath, Kill, Co. Kildare"," €1,300 / month ", 2 beds 
" Music Hall, Cows Lane, Temple Bar, Dublin 2"," €1,600 / month ", 1 bed 
" Belfry Square, Citywest, Dublin 24"," €1,850 / month ", 2 beds 
" John L O' Sullivan Park, Rosscarbery,   West Cork", €125 / week , 2 beds 
" 44 Carrabeag, Newport Road, Castlebar, Co. Mayo"," €1,300 / month ", 3 beds 
" The Elysian , Eglinton Road, Cork City, Cork"," €3,328 / month ", 3 beds 
" Green Isle Court, Clondalkin, Dublin 22"," €1,950 / month ", 2 beds 
" Clearwater, Coast Road, Malahide, Co. Dublin"," €2,916 / month ", 2 beds 
" Malahide Road, Clontarf, Dublin 3"," €3,200 / month ", 3 beds 
" Apartment 19 Eustace Court, Cualanor, Dun Laoghaire, County Dublin"," €2,650 / month ", 2 beds 
" 18 Park View, Castleknock, Dublin 15, County Dublin"," €4,200 / month ", 5 beds 
" Bru Eala, Baltyboys Lower, Blessington, Co. Wicklow",POA, 3 beds 
" St Mealruan's Park, Oldbawn, Tallaght, Dublin 24"," €2,800 / month ", 3 beds 
" Apartment 212 Longboat Quay South, Grand Canal Dk, Dublin 2"," €2,500 / month ", 1 bath 
" Kildonan Road, Finglas, Dublin 11"," €2,300 / month ", 3 beds 
" Kildonan Road, Finglas, Dublin 11"," €2,300 / month ", 3 beds 
" The Sweepstakes, Merrion Road, Ballsbridge, Dublin 4"," €1,989 / month ", 2 beds 
" Marietta Woods, Castle Park Road, CODUBLIN, Dalkey, Co. Dublin"," €2,750 / month ", 2 beds 
" Scholarstown Wood, Rathfarham, Dublin 16, Dublin"," €2,985 / month ", 3 beds 
" Dolphins Road, Drimnagh, Dublin 12"," €3,600 / month ", 3 beds 
" Niche Living, Eblana Avenue, Dun Laogharie, CO.DUBLI, Dublin"," €1,880 / month ", 1 bed 
" Marietta Woods, Castle Park Road, CODUBLIN, Dalkey, Co. Dublin"," €1,925 / month ", 1 bed 
" Marietta Woods, Castle Park Road, CODUBLIN, Dalkey, Co. Dublin"," €2,175 / month ", 1 bed 
" The Station, Sallins road, Kildare"," €1,775 / month ", 3 beds 
" Green Isle, Clondalkin, Dublin 22"," €2,100 / month ", 2 beds 
" 7 The Avenue, Robswall, Malahide, Co. Dublin"," €3,700 / month ", 4 beds 
" Truskey West, Barna, Co. Galway"," €2,700 / month ", 5 beds 
" 618 Harbour Point Business Park, Little Island, Co. Cork"," €13,000 / month ",90.5m 2
" The Tramyard, Inchicore, Dublin 8"," €1,530 / month ", 1 bed 
" Apartment 6, Cedarhurst Road, Phoenix Park Racecourse, Dublin 15, Castleknock, Dublin 15"," €2,100 / month ", 2 beds 
" Elmfield Court, Clondalkin, Dublin 22"," €1,700 / month ", 2 beds 
" Drumgullane East, Kinsalebeg, Co. Waterford"," €1,200 / month ", 3 beds 
" No. 9 Hazelgrove, Spencer Street, Castlebar, Mayo"," €1,200 / month ", 4 beds 
" 115 Custom House Harbour, IFSC, Dublin 1"," €2,500 / month ", 2 beds 
" Knockrabo Court, Goatstown, Dublin 14"," €4,500 / month ", 4 beds 
" Rockmarshall, Jenkinstown, Co. Louth"," €2,500 / month ", 5 beds 
" 13 The Oaks, Rockfield, Dundrum, Dublin 16"," €2,500 / month ", 2 beds 
" Two Bedroom Cottage, Chapel Street, Ballymore Eustace, Kildare"," €1,650 / month ", 2 beds 
" 7 Adair, Sandymount Avenue, Dublin 4, Sandymount"," €2,900 / month ", 2 beds 
" Belfry Hall, Citywest, Dublin"," €1,700 / month ", 2 beds 
" Deerpark Way, Tallaght, Dublin 24"," €1,750 / month ", 2 beds 
" Silken Park, Citywest, Dublin"," €2,095 / month ", 3 beds 
" 69 Harbour View, Harbour Square, Crofton Road, Dun Laoghaire, Co. Dublin"," €2,650 / month ", 2 beds 
" Killooley, Blueball, Tullamore, Co. Offaly",POA,
" Elmville, Harolds Cross Road, Harold Cross, Dublin 6w, Dublin 6W, Dublin"," €2,125 / month ", 1 bed 
" Quayside Quarter at Dublin Landings, Docklands, Dublin 1"," €3,320 to €5,030 / month ",
" Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9"," €2,140 to €3,600 / month ",
" Opus, 6 Hanover Quay, Grand Canal Dk, Dublin 2"," €3,150 to €6,000 / month ", 2 beds 
" Commercial Unit, Friar Street, Thurles, Co. Tipperary",POA, 1 bath 
" Walkinstown Green, Walkinstown, Dublin"," €1,600 / month ", 1 bed 
" 1 Mercer Lodge, Dublin 18, Carrickmines"," €2,650 / month ", 2 beds 
" Crieve Mor Ave, Letterkenny, Donegal"," €1,700 / month ", 4 beds 
" Apartment 74, The Cedars, Herbert Park Lane, Ballsbridge, Dublin 4"," €5,000 / month ", 2 beds 
" Kenilworth Manor, Harold's Cross, Dublin 6W"," €1,632 / month ", 1 bed 
" Block 1 & 2, Deansgrange Business Park, 26057, Dublin",POA,26057m 2
" 1 Ballymany Park , Newbridge, Kildare"," €2,100 / month ", 3 beds 
